"","difMedia","difSd","erroInv","erroInvConf","erroInvProp","diffErro","conf_t","conf_ks","conf_graybill","inv_t","inv_ks","inv_graybill"
"28",0.2,0.8,4.5013,4.508197,4.504512,-0.00689700000000037,1.47693203103167e-10,0.0265056782261858,0.09972295,1.47995989446941e-125,6.81527057011522e-13,7.56285774659e-19
"29",0.2,0.9,4.5013,4.508257,4.503708,-0.00695700000000041,1.05343198201957e-08,0.0174272893423477,0.10314871,3.06434498908722e-92,6.93889390390723e-16,6.147703817539e-18
"30",0.2,1,4.5013,4.510992,4.50848,-0.00969200000000039,4.87137852426269e-07,0.00810025125307739,0.116562963,8.57680844790287e-71,0,5.32330518933e-17
"31",0.3,0.1,4.5013,4.509453,4.503407,-0.0081530000000004,0,0.00201563049086442,0.008942909,0,0,1.4167574480707e-48
"32",0.3,0.2,4.5013,4.510813,4.50224,-0.00951300000000035,1.41168464323394e-231,0.00220514649922294,0.018348845,0,0,1.092721038e-39
"33",0.3,0.3,4.5013,4.516861,4.503035,-0.0155610000000004,5.42039716876855e-133,0.00260321372642834,0.021271781,0,0,1.6419822474629e-34
"34",0.3,0.4,4.5013,4.509279,4.501728,-0.00797900000000036,5.02032725353202e-81,0.00271611089913411,0.030653542,0,0,5.327239623786e-31
"35",0.3,0.5,4.5013,4.507359,4.503236,-0.00605900000000037,2.00996794321975e-57,0.0029115766812905,0.040573998,0,0,2.753057469379e-28
"36",0.3,0.6,4.5013,4.503542,4.502534,-0.00224200000000031,4.22219783490635e-36,0.00241132132273673,0.04531035,0,0,6.65184809022e-27
"37",0.3,0.7,4.5013,4.512665,4.504121,-0.0113650000000004,9.85684554944152e-31,0.00278309044423899,0.06491308,0,0,2.222384994408e-25
"38",0.3,0.8,4.5013,4.514169,4.502203,-0.0128690000000004,9.49879657144456e-23,0.00223350365346938,0.07481756,6.93485381312284e-276,0,7.92090850898e-23
"39",0.3,0.9,4.5013,4.517883,4.504907,-0.0165830000000004,3.19234128268153e-16,0.00207912200030375,0.06504371,6.99033285584837e-223,0,1.125911605245e-22
"40",0.3,1,4.5013,4.513619,4.502156,-0.0123190000000004,3.53330664281958e-14,0.00160750831249278,0.07493575,9.11823479970212e-180,0,3.4851093793081e-20
"41",0.4,0.1,4.5013,4.505655,4.50313,-0.00435500000000037,0,4.85830910212337e-05,0.007146631,0,0,1.1489136135955e-51
"42",0.4,0.2,4.5013,4.512208,4.503604,-0.0109080000000004,0,5.40842611387271e-05,0.011634814,0,0,1.931906969247e-42
"43",0.4,0.3,4.5013,4.528332,4.503094,-0.0270320000000003,6.4578456716799e-191,5.43840517103744e-05,0.0170604396,0,0,1.05623823782e-38
"44",0.4,0.4,4.5013,4.512848,4.50384,-0.0115480000000004,2.14930252502626e-140,9.13939316017653e-05,0.025733173,0,0,4.79852924478e-35
"45",0.4,0.5,4.5013,4.51376,4.503222,-0.0124600000000004,2.75850130361718e-94,8.4192046758188e-05,0.030530149,0,0,2.73493420193e-32
"46",0.4,0.6,4.5013,4.526256,4.503593,-0.0249560000000003,4.10457454407813e-70,9.01326677682568e-05,0.032031848,0,0,1.7938927804e-30
"47",0.4,0.7,4.5013,4.520992,4.504467,-0.0196920000000004,1.82294060499584e-52,0.000104280403203092,0.0437164536,0,0,1.658537432065e-28
"48",0.4,0.8,4.5013,4.51932,4.503951,-0.0180200000000004,3.63209937912636e-44,7.42201436068968e-05,0.05100893,0,0,6.8279747055e-27
"49",0.4,0.9,4.5013,4.52408,4.507686,-0.0227800000000003,2.18630207911526e-32,0.000103932799814037,0.0566492504,0,0,1.4315370004e-25
"50",0.4,1,4.5013,4.522655,4.506217,-0.0213550000000004,1.03981097159211e-24,5.09739861310621e-05,0.053401547,6.65345468242057e-315,0,5.215831068707e-24
"51",0.5,0.1,4.5013,4.516874,4.503858,-0.0155740000000004,0,3.14619972680008e-07,0.00445795,0,0,5.07289807759e-54
"52",0.5,0.2,4.5013,4.52467,4.503166,-0.0233700000000004,0,4.52824928833806e-07,0.009402871,0,0,8.607433940416e-46
"53",0.5,0.3,4.5013,4.51049,4.505187,-0.00919000000000035,4.07556993075687e-248,4.82854313427206e-07,0.0149362855,0,0,2.376774781339e-40
"54",0.5,0.4,4.5013,4.52165,4.505513,-0.0203500000000003,1.75930406996527e-181,1.73521152375455e-06,0.021100397,0,0,2.0309162850665e-37
"55",0.5,0.5,4.5013,4.526903,4.50511,-0.0256030000000004,1.81083174265447e-141,9.20433219300243e-07,0.02531708,0,0,2.538305463473e-34
"56",0.5,0.6,4.5013,4.536615,4.502609,-0.0353150000000004,9.70179836622903e-100,1.42377799584481e-06,0.030477867,0,0,9.3049164196967e-33
"57",0.5,0.7,4.5013,4.513402,4.501886,-0.0121020000000004,2.22831676048609e-76,1.2908915221177e-06,0.031416732,0,0,1.69063309622e-31
"58",0.5,0.8,4.5013,4.528101,4.503437,-0.0268010000000003,5.23286896349213e-61,2.60931923080521e-06,0.04314329,0,0,6.0023506406394e-29
"59",0.5,0.9,4.5013,4.527128,4.508663,-0.0258280000000003,3.38595220739266e-49,1.75386018177126e-06,0.0434719,0,0,1.650552733848e-28
"60",0.5,1,4.5013,4.521342,4.505772,-0.0200420000000004,3.20545944423851e-40,2.8875365007186e-06,0.05344229,0,0,3.06589632477e-27
"61",0.6,0.1,4.5013,4.537574,4.504113,-0.0362740000000004,0,1.64857323237122e-09,0.004753727,0,0,2.382019010913e-55
"62",0.6,0.2,4.5013,4.54042,4.503218,-0.0391200000000004,0,8.05024505612373e-09,0.0082955407,0,0,1.116766112424e-47
"63",0.6,0.3,4.5013,4.535289,4.502967,-0.0339890000000004,5.20703552939118e-313,6.7656226221402e-09,0.012579838,0,0,1.01444370451333e-42
"64",0.6,0.4,4.5013,4.524582,4.505261,-0.0232820000000004,3.47216344068307e-225,1.81439952484652e-08,0.0160296868,0,0,6.374441972e-40
"65",0.6,0.5,4.5013,4.55922,4.503155,-0.0579200000000004,4.6990735967922e-169,2.72542875490167e-09,0.0210259274,0,0,2.728004840591e-37
